pair_id,radio,channel,slot,slot_width,freq_low_mhz,freq_high_mhz,label,event_index
0,ble,3,47,1,2409.0,2411.0,ble-0-ev0,0
0,ble,10,55,1,2423.0,2425.0,ble-0-ev1,1
0,ble,17,63,1,2439.0,2441.0,ble-0-ev2,2
1,wifi,0,7,1,2402.0,2422.0,wifi-1-ev0,0
1,wifi,0,8,1,2402.0,2422.0,wifi-1-ev0,0
1,wifi,0,9,1,2402.0,2422.0,wifi-1-ev0,0
1,wifi,0,10,1,2402.0,2422.0,wifi-1-ev0,0
1,wifi,0,11,1,2402.0,2422.0,wifi-1-ev0,0
1,wifi,0,23,1,2402.0,2422.0,wifi-1-ev1,1
1,wifi,0,24,1,2402.0,2422.0,wifi-1-ev1,1
1,wifi,0,25,1,2402.0,2422.0,wifi-1-ev1,1
1,wifi,0,26,1,2402.0,2422.0,wifi-1-ev1,1
1,wifi,0,27,1,2402.0,2422.0,wifi-1-ev1,1
1,wifi,0,39,1,2402.0,2422.0,wifi-1-ev2,2
1,wifi,0,40,1,2402.0,2422.0,wifi-1-ev2,2
1,wifi,0,41,1,2402.0,2422.0,wifi-1-ev2,2
1,wifi,0,42,1,2402.0,2422.0,wifi-1-ev2,2
1,wifi,0,43,1,2402.0,2422.0,wifi-1-ev2,2
1,wifi,0,55,1,2402.0,2422.0,wifi-1-ev3,3
1,wifi,0,56,1,2402.0,2422.0,wifi-1-ev3,3
1,wifi,0,57,1,2402.0,2422.0,wifi-1-ev3,3
1,wifi,0,58,1,2402.0,2422.0,wifi-1-ev3,3
1,wifi,0,59,1,2402.0,2422.0,wifi-1-ev3,3
2,ble,13,20,1,2431.0,2433.0,ble-2-ev0,0
2,ble,13,21,1,2431.0,2433.0,ble-2-ev0,0
2,ble,13,22,1,2431.0,2433.0,ble-2-ev0,0
2,ble,13,23,1,2431.0,2433.0,ble-2-ev0,0
3,ble,26,0,1,2457.0,2459.0,ble-3-ev0,0
3,ble,35,8,1,2475.0,2477.0,ble-3-ev1,1
3,ble,7,16,1,2417.0,2419.0,ble-3-ev2,2
3,ble,16,24,1,2437.0,2439.0,ble-3-ev3,3
3,ble,25,32,1,2455.0,2457.0,ble-3-ev4,4
3,ble,34,40,1,2473.0,2475.0,ble-3-ev5,5
3,ble,6,48,1,2415.0,2417.0,ble-3-ev6,6
3,ble,15,56,1,2435.0,2437.0,ble-3-ev7,7
5,ble,25,20,1,2455.0,2457.0,ble-5-ev0,0
5,ble,25,21,1,2455.0,2457.0,ble-5-ev0,0
5,ble,25,22,1,2455.0,2457.0,ble-5-ev0,0
5,ble,25,23,1,2455.0,2457.0,ble-5-ev0,0
6,ble,6,21,1,2415.0,2417.0,ble-6-ev0,0
6,ble,13,53,1,2431.0,2433.0,ble-6-ev1,1
7,ble,7,20,1,2417.0,2419.0,ble-7-ev0,0
7,ble,7,21,1,2417.0,2419.0,ble-7-ev0,0
7,ble,14,52,1,2433.0,2435.0,ble-7-ev1,1
7,ble,14,53,1,2433.0,2435.0,ble-7-ev1,1
8,ble,32,13,1,2469.0,2471.0,ble-8-ev0,0
8,ble,32,14,1,2469.0,2471.0,ble-8-ev0,0
8,ble,32,15,1,2469.0,2471.0,ble-8-ev0,0
8,ble,0,29,1,2403.0,2405.0,ble-8-ev1,1
8,ble,0,30,1,2403.0,2405.0,ble-8-ev1,1
8,ble,0,31,1,2403.0,2405.0,ble-8-ev1,1
8,ble,5,45,1,2413.0,2415.0,ble-8-ev2,2
8,ble,5,46,1,2413.0,2415.0,ble-8-ev2,2
8,ble,5,47,1,2413.0,2415.0,ble-8-ev2,2
8,ble,10,61,1,2423.0,2425.0,ble-8-ev3,3
8,ble,10,62,1,2423.0,2425.0,ble-8-ev3,3
8,ble,10,63,1,2423.0,2425.0,ble-8-ev3,3
9,ble,13,60,1,2431.0,2433.0,ble-9-ev0,0
9,ble,13,61,1,2431.0,2433.0,ble-9-ev0,0
9,ble,13,62,1,2431.0,2433.0,ble-9-ev0,0
9,ble,13,63,1,2431.0,2433.0,ble-9-ev0,0
10,ble,24,0,1,2453.0,2455.0,ble-10-ev0,0
10,ble,24,1,1,2453.0,2455.0,ble-10-ev0,0
10,ble,24,2,1,2453.0,2455.0,ble-10-ev0,0
10,ble,29,16,1,2463.0,2465.0,ble-10-ev1,1
10,ble,29,17,1,2463.0,2465.0,ble-10-ev1,1
10,ble,29,18,1,2463.0,2465.0,ble-10-ev1,1
10,ble,34,32,1,2473.0,2475.0,ble-10-ev2,2
10,ble,34,33,1,2473.0,2475.0,ble-10-ev2,2
10,ble,34,34,1,2473.0,2475.0,ble-10-ev2,2
10,ble,2,48,1,2407.0,2409.0,ble-10-ev3,3
10,ble,2,49,1,2407.0,2409.0,ble-10-ev3,3
10,ble,2,50,1,2407.0,2409.0,ble-10-ev3,3
11,ble,7,63,1,2417.0,2419.0,ble-11-ev0,0
12,ble,35,20,1,2475.0,2477.0,ble-12-ev0,0
12,ble,35,21,1,2475.0,2477.0,ble-12-ev0,0
12,ble,5,52,1,2413.0,2415.0,ble-12-ev1,1
12,ble,5,53,1,2413.0,2415.0,ble-12-ev1,1
16,ble,8,19,1,2419.0,2421.0,ble-16-ev0,0
16,ble,8,20,1,2419.0,2421.0,ble-16-ev0,0
16,ble,8,21,1,2419.0,2421.0,ble-16-ev0,0
16,ble,8,22,1,2419.0,2421.0,ble-16-ev0,0
16,ble,15,51,1,2435.0,2437.0,ble-16-ev1,1
16,ble,15,52,1,2435.0,2437.0,ble-16-ev1,1
16,ble,15,53,1,2435.0,2437.0,ble-16-ev1,1
16,ble,15,54,1,2435.0,2437.0,ble-16-ev1,1
18,ble,16,31,1,2437.0,2439.0,ble-18-ev0,0
18,ble,23,39,1,2451.0,2453.0,ble-18-ev1,1
18,ble,30,47,1,2465.0,2467.0,ble-18-ev2,2
19,ble,21,0,1,2447.0,2449.0,ble-19-ev0,0
19,ble,26,16,1,2457.0,2459.0,ble-19-ev1,1
19,ble,31,32,1,2467.0,2469.0,ble-19-ev2,2
19,ble,36,48,1,2477.0,2479.0,ble-19-ev3,3
20,ble,5,17,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,18,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,19,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,20,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,21,1,2413.0,2415.0,ble-20-ev0,0
20,ble,5,22,1,2413.0,2415.0,ble-20-ev0,0
20,ble,10,49,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,50,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,51,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,52,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,53,1,2423.0,2425.0,ble-20-ev1,1
20,ble,10,54,1,2423.0,2425.0,ble-20-ev1,1
23,ble,20,19,1,2445.0,2447.0,ble-23-ev0,0
23,ble,20,20,1,2445.0,2447.0,ble-23-ev0,0
23,ble,20,21,1,2445.0,2447.0,ble-23-ev0,0
23,ble,25,51,1,2455.0,2457.0,ble-23-ev1,1
23,ble,25,52,1,2455.0,2457.0,ble-23-ev1,1
23,ble,25,53,1,2455.0,2457.0,ble-23-ev1,1
24,ble,13,30,1,2431.0,2433.0,ble-24-ev0,0
24,ble,13,31,1,2431.0,2433.0,ble-24-ev0,0
24,ble,22,46,1,2449.0,2451.0,ble-24-ev1,1
24,ble,22,47,1,2449.0,2451.0,ble-24-ev1,1
24,ble,31,62,1,2467.0,2469.0,ble-24-ev2,2
24,ble,31,63,1,2467.0,2469.0,ble-24-ev2,2
25,wifi,5,14,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,15,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,16,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,17,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,18,1,2427.0,2447.0,wifi-25-ev0,0
25,wifi,5,46,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,47,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,48,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,49,1,2427.0,2447.0,wifi-25-ev1,1
25,wifi,5,50,1,2427.0,2447.0,wifi-25-ev1,1
26,ble,25,0,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,1,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,2,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,3,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,4,1,2455.0,2457.0,ble-26-ev0,0
26,ble,25,5,1,2455.0,2457.0,ble-26-ev0,0
26,ble,30,16,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,17,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,18,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,19,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,20,1,2465.0,2467.0,ble-26-ev1,1
26,ble,30,21,1,2465.0,2467.0,ble-26-ev1,1
26,ble,35,32,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,33,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,34,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,35,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,36,1,2475.0,2477.0,ble-26-ev2,2
26,ble,35,37,1,2475.0,2477.0,ble-26-ev2,2
26,ble,3,48,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,49,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,50,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,51,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,52,1,2409.0,2411.0,ble-26-ev3,3
26,ble,3,53,1,2409.0,2411.0,ble-26-ev3,3
27,ble,27,0,1,2459.0,2461.0,ble-27-ev0,0
27,ble,27,1,1,2459.0,2461.0,ble-27-ev0,0
27,ble,27,2,1,2459.0,2461.0,ble-27-ev0,0
27,ble,27,3,1,2459.0,2461.0,ble-27-ev0,0
27,ble,27,4,1,2459.0,2461.0,ble-27-ev0,0
28,ble,5,15,1,2413.0,2415.0,ble-28-ev0,0
28,ble,14,31,1,2433.0,2435.0,ble-28-ev1,1
28,ble,23,47,1,2451.0,2453.0,ble-28-ev2,2
28,ble,32,63,1,2469.0,2471.0,ble-28-ev3,3
29,ble,32,0,1,2469.0,2471.0,ble-29-ev0,0
29,ble,32,1,1,2469.0,2471.0,ble-29-ev0,0
29,ble,32,2,1,2469.0,2471.0,ble-29-ev0,0
29,ble,32,3,1,2469.0,2471.0,ble-29-ev0,0
29,ble,32,4,1,2469.0,2471.0,ble-29-ev0,0
33,ble,34,12,1,2473.0,2475.0,ble-33-ev0,0
33,ble,34,13,1,2473.0,2475.0,ble-33-ev0,0
33,ble,34,14,1,2473.0,2475.0,ble-33-ev0,0
33,ble,34,15,1,2473.0,2475.0,ble-33-ev0,0
33,ble,2,28,1,2407.0,2409.0,ble-33-ev1,1
33,ble,2,29,1,2407.0,2409.0,ble-33-ev1,1
33,ble,2,30,1,2407.0,2409.0,ble-33-ev1,1
33,ble,2,31,1,2407.0,2409.0,ble-33-ev1,1
33,ble,7,44,1,2417.0,2419.0,ble-33-ev2,2
33,ble,7,45,1,2417.0,2419.0,ble-33-ev2,2
33,ble,7,46,1,2417.0,2419.0,ble-33-ev2,2
33,ble,7,47,1,2417.0,2419.0,ble-33-ev2,2
33,ble,12,60,1,2429.0,2431.0,ble-33-ev3,3
33,ble,12,61,1,2429.0,2431.0,ble-33-ev3,3
33,ble,12,62,1,2429.0,2431.0,ble-33-ev3,3
33,ble,12,63,1,2429.0,2431.0,ble-33-ev3,3
36,ble,33,4,1,2471.0,2473.0,ble-36-ev0,0
36,ble,33,5,1,2471.0,2473.0,ble-36-ev0,0
36,ble,3,12,1,2409.0,2411.0,ble-36-ev1,1
36,ble,3,13,1,2409.0,2411.0,ble-36-ev1,1
36,ble,10,20,1,2423.0,2425.0,ble-36-ev2,2
36,ble,10,21,1,2423.0,2425.0,ble-36-ev2,2
36,ble,17,28,1,2439.0,2441.0,ble-36-ev3,3
36,ble,17,29,1,2439.0,2441.0,ble-36-ev3,3
36,ble,24,36,1,2453.0,2455.0,ble-36-ev4,4
36,ble,24,37,1,2453.0,2455.0,ble-36-ev4,4
36,ble,31,44,1,2467.0,2469.0,ble-36-ev5,5
36,ble,31,45,1,2467.0,2469.0,ble-36-ev5,5
36,ble,1,52,1,2405.0,2407.0,ble-36-ev6,6
36,ble,1,53,1,2405.0,2407.0,ble-36-ev6,6
36,ble,8,60,1,2419.0,2421.0,ble-36-ev7,7
36,ble,8,61,1,2419.0,2421.0,ble-36-ev7,7
37,ble,2,19,1,2407.0,2409.0,ble-37-ev0,0
37,ble,2,20,1,2407.0,2409.0,ble-37-ev0,0
37,ble,2,21,1,2407.0,2409.0,ble-37-ev0,0
37,ble,11,51,1,2427.0,2429.0,ble-37-ev1,1
37,ble,11,52,1,2427.0,2429.0,ble-37-ev1,1
37,ble,11,53,1,2427.0,2429.0,ble-37-ev1,1
38,ble,12,19,1,2429.0,2431.0,ble-38-ev0,0
38,ble,12,20,1,2429.0,2431.0,ble-38-ev0,0
38,ble,12,21,1,2429.0,2431.0,ble-38-ev0,0
38,ble,12,22,1,2429.0,2431.0,ble-38-ev0,0
38,ble,12,23,1,2429.0,2431.0,ble-38-ev0,0
38,ble,12,24,1,2429.0,2431.0,ble-38-ev0,0
40,wifi,5,0,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,1,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,2,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,3,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,4,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,5,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,6,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,7,1,2427.0,2447.0,wifi-40-ev0,0
40,wifi,5,32,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,33,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,34,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,35,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,36,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,37,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,38,1,2427.0,2447.0,wifi-40-ev1,1
40,wifi,5,39,1,2427.0,2447.0,wifi-40-ev1,1
41,ble,30,9,1,2465.0,2467.0,ble-41-ev0,0
41,ble,30,10,1,2465.0,2467.0,ble-41-ev0,0
41,ble,30,11,1,2465.0,2467.0,ble-41-ev0,0
41,ble,30,12,1,2465.0,2467.0,ble-41-ev0,0
41,ble,30,13,1,2465.0,2467.0,ble-41-ev0,0
41,ble,35,41,1,2475.0,2477.0,ble-41-ev1,1
41,ble,35,42,1,2475.0,2477.0,ble-41-ev1,1
41,ble,35,43,1,2475.0,2477.0,ble-41-ev1,1
41,ble,35,44,1,2475.0,2477.0,ble-41-ev1,1
41,ble,35,45,1,2475.0,2477.0,ble-41-ev1,1
43,ble,35,0,1,2475.0,2477.0,ble-43-ev0,0
43,ble,35,1,1,2475.0,2477.0,ble-43-ev0,0
43,ble,35,2,1,2475.0,2477.0,ble-43-ev0,0
43,ble,35,3,1,2475.0,2477.0,ble-43-ev0,0
43,ble,35,4,1,2475.0,2477.0,ble-43-ev0,0
45,ble,14,20,1,2433.0,2435.0,ble-45-ev0,0
45,ble,14,21,1,2433.0,2435.0,ble-45-ev0,0
45,ble,14,22,1,2433.0,2435.0,ble-45-ev0,0
45,ble,14,23,1,2433.0,2435.0,ble-45-ev0,0
46,wifi,5,8,1,2427.0,2447.0,wifi-46-ev0,0
46,wifi,5,9,1,2427.0,2447.0,wifi-46-ev0,0
46,wifi,5,10,1,2427.0,2447.0,wifi-46-ev0,0
46,wifi,5,11,1,2427.0,2447.0,wifi-46-ev0,0
46,wifi,5,12,1,2427.0,2447.0,wifi-46-ev0,0
46,wifi,5,13,1,2427.0,2447.0,wifi-46-ev0,0
46,wifi,5,40,1,2427.0,2447.0,wifi-46-ev1,1
46,wifi,5,41,1,2427.0,2447.0,wifi-46-ev1,1
46,wifi,5,42,1,2427.0,2447.0,wifi-46-ev1,1
46,wifi,5,43,1,2427.0,2447.0,wifi-46-ev1,1
46,wifi,5,44,1,2427.0,2447.0,wifi-46-ev1,1
46,wifi,5,45,1,2427.0,2447.0,wifi-46-ev1,1
47,wifi,0,0,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,1,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,2,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,3,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,4,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,5,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,6,1,2402.0,2422.0,wifi-47-ev0,0
47,wifi,0,32,1,2402.0,2422.0,wifi-47-ev1,1
47,wifi,0,33,1,2402.0,2422.0,wifi-47-ev1,1
47,wifi,0,34,1,2402.0,2422.0,wifi-47-ev1,1
47,wifi,0,35,1,2402.0,2422.0,wifi-47-ev1,1
47,wifi,0,36,1,2402.0,2422.0,wifi-47-ev1,1
47,wifi,0,37,1,2402.0,2422.0,wifi-47-ev1,1
47,wifi,0,38,1,2402.0,2422.0,wifi-47-ev1,1
48,ble,10,27,1,2423.0,2425.0,ble-48-ev0,0
48,ble,10,28,1,2423.0,2425.0,ble-48-ev0,0
48,ble,10,29,1,2423.0,2425.0,ble-48-ev0,0
48,ble,10,30,1,2423.0,2425.0,ble-48-ev0,0
48,ble,10,31,1,2423.0,2425.0,ble-48-ev0,0
48,ble,15,59,1,2435.0,2437.0,ble-48-ev1,1
48,ble,15,60,1,2435.0,2437.0,ble-48-ev1,1
48,ble,15,61,1,2435.0,2437.0,ble-48-ev1,1
48,ble,15,62,1,2435.0,2437.0,ble-48-ev1,1
48,ble,15,63,1,2435.0,2437.0,ble-48-ev1,1
-1,ble_adv_idle,2402,0,1,2401.0,2403.0,BLE adv idle 2402 MHz,0
-1,ble_adv_idle,2402,1,1,2401.0,2403.0,BLE adv idle 2402 MHz,0
-1,ble_adv_idle,2402,2,1,2401.0,2403.0,BLE adv idle 2402 MHz,0
